condition,slice,row_count,macro_f1,exact_match,samples_f1,predicted_cardinality_mean,neutral_coprediction_rows
old-prompt-closed-decoder,all,5426,0.47324203401272763,0.50294876520457055,0.58367735594053327,1.0477331367489864,0
old-prompt-closed-decoder,single_label,4548,0.494351138939849,0.58970976253298157,0.60293902081501027,1.0307827616534742,0
old-prompt-closed-decoder,any_multilabel,878,0.42269747674358576,0.053530751708428248,0.48390280941533792,1.1355353075170842,0
old-prompt-closed-decoder,neutral_cooccurrence,174,0.19773173537184277,0,0.53639846743295005,1.0057471264367817,0
old-prompt-closed-decoder,without_neutral_cooccurrence,5252,0.47759727673906482,0.51961157654226964,0.58524371667936026,1.0491241431835492,0
old-prompt-open-decoder,all,5426,0.47324203401272763,0.50294876520457055,0.58367735594053327,1.0477331367489864,0
old-prompt-open-decoder,single_label,4548,0.494351138939849,0.58970976253298157,0.60293902081501027,1.0307827616534742,0
old-prompt-open-decoder,any_multilabel,878,0.42269747674358576,0.053530751708428248,0.48390280941533792,1.1355353075170842,0
old-prompt-open-decoder,neutral_cooccurrence,174,0.19773173537184277,0,0.53639846743295005,1.0057471264367817,0
old-prompt-open-decoder,without_neutral_cooccurrence,5252,0.47759727673906482,0.51961157654226964,0.58524371667936026,1.0491241431835492,0
aligned-prompt-open-decoder,all,5426,0.46937028735395009,0.49189089568743088,0.57560247836694567,1.0615554736454109,0
aligned-prompt-open-decoder,single_label,4548,0.48736992755968966,0.57475813544415133,0.5923849311052477,1.0411169744942832,0
aligned-prompt-open-decoder,any_multilabel,878,0.42450041620433965,0.062642369020501146,0.48867013775897605,1.1674259681093395,0
aligned-prompt-open-decoder,neutral_cooccurrence,174,0.21534620822383085,0,0.52816091954022981,1.0172413793103448,0
aligned-prompt-open-decoder,without_neutral_cooccurrence,5252,0.47279505332463556,0.50818735719725816,0.57717422841185217,1.063023610053313,0
exp-029-zero-shot-closed-ontology,all,5426,0.47324203401272763,0.50294876520457055,0.58367735594053327,1.0477331367489864,0
exp-029-zero-shot-closed-ontology,single_label,4548,0.494351138939849,0.58970976253298157,0.60293902081501027,1.0307827616534742,0
exp-029-zero-shot-closed-ontology,any_multilabel,878,0.42269747674358576,0.053530751708428248,0.48390280941533792,1.1355353075170842,0
exp-029-zero-shot-closed-ontology,neutral_cooccurrence,174,0.19773173537184277,0,0.53639846743295005,1.0057471264367817,0
exp-029-zero-shot-closed-ontology,without_neutral_cooccurrence,5252,0.47759727673906482,0.51961157654226964,0.58524371667936026,1.0491241431835492,0
