label_id,label,precision,recall,f1,support,predicted_support
0,admiration,0.67286245353159846,0.74180327868852458,0.70565302144249509,488,538
1,amusement,0.78501628664495116,0.79537953795379535,0.79016393442622945,303,307
2,anger,0.68674698795180722,0.29230769230769232,0.41007194244604317,195,83
3,annoyance,0.69696969696969702,0.07590759075907591,0.13690476190476192,303,33
4,approval,0.61261261261261257,0.1712846347607053,0.26771653543307089,397,111
5,caring,0.48905109489051096,0.43790849673202614,0.46206896551724136,153,137
6,confusion,0.67123287671232879,0.32236842105263158,0.43555555555555553,152,73
7,curiosity,0.52263374485596703,0.51209677419354838,0.51731160896130346,248,243
8,desire,0.62962962962962965,0.44155844155844154,0.51908396946564883,77,54
9,disappointment,0.34507042253521125,0.30061349693251532,0.32131147540983607,163,142
10,disapproval,0.40116279069767441,0.2363013698630137,0.29741379310344829,292,172
11,disgust,0.54545454545454541,0.37113402061855671,0.44171779141104295,97,66
12,embarrassment,1,0.34285714285714286,0.51063829787234039,35,12
13,excitement,0.73076923076923073,0.19791666666666666,0.31147540983606559,96,26
14,fear,0.74137931034482762,0.4777777777777778,0.58108108108108103,90,58
15,gratitude,0.9285714285714286,0.87150837988826813,0.89913544668587897,358,336
16,grief,0,0,0,13,1
17,joy,0.65671641791044777,0.51162790697674421,0.57516339869281041,172,134
18,love,0.70486111111111116,0.80555555555555558,0.75185185185185188,252,288
19,nervousness,1,0.095238095238095233,0.17391304347826086,21,2
20,optimism,0.81481481481481477,0.31578947368421051,0.45517241379310347,209,81
21,pride,0.75,0.20000000000000001,0.31578947368421051,15,4
22,realization,0.7142857142857143,0.11811023622047244,0.20270270270270271,127,21
23,relief,0.5,0.055555555555555552,0.10000000000000001,18,2
24,remorse,0.64814814814814814,0.51470588235294112,0.57377049180327866,68,54
25,sadness,0.62857142857142856,0.46153846153846156,0.532258064516129,143,105
26,surprise,0.57471264367816088,0.38759689922480622,0.46296296296296297,129,87
27,neutral,0.58497691984892997,0.78935447338618348,0.67196914919257655,1766,2383
