label_id,label,precision,recall,f1,support,predicted_support
0,admiration,0.6875,0.46808510638297873,0.55696202531645567,94,64
1,amusement,0.82758620689655171,0.84210526315789469,0.83478260869565213,57,58
2,anger,0.68571428571428572,0.32876712328767121,0.44444444444444442,73,35
3,annoyance,0.45098039215686275,0.17424242424242425,0.25136612021857924,132,51
4,approval,0.58666666666666667,0.21782178217821782,0.3176895306859206,202,75
5,caring,0.5,0.26229508196721313,0.34408602150537637,61,32
6,confusion,0.5957446808510638,0.2857142857142857,0.38620689655172413,98,47
7,curiosity,0.62406015037593987,0.70338983050847459,0.66135458167330674,118,133
8,desire,0.6470588235294118,0.40740740740740738,0.5,27,17
9,disappointment,0.40000000000000002,0.15384615384615385,0.22222222222222221,65,25
10,disapproval,0.546875,0.32110091743119268,0.40462427745664742,109,64
11,disgust,0.42857142857142855,0.10344827586206896,0.16666666666666666,29,7
12,embarrassment,1,0.083333333333333329,0.15384615384615385,12,1
13,excitement,0,0,0,21,5
14,fear,0.83333333333333337,0.25,0.38461538461538464,20,6
15,gratitude,1,0.14285714285714285,0.25,14,2
16,grief,0,0,0,2,0
17,joy,0.63636363636363635,0.15555555555555556,0.25,45,11
18,love,0.7142857142857143,0.52631578947368418,0.60606060606060608,38,28
19,nervousness,0,0,0,8,0
20,optimism,0.8571428571428571,0.125,0.21818181818181817,48,7
21,pride,0,0,0,6,0
22,realization,1,0.065789473684210523,0.12345679012345678,76,5
23,relief,1,0.125,0.22222222222222221,8,1
24,remorse,0,0,0,4,3
25,sadness,0.61290322580645162,0.32758620689655171,0.42696629213483145,58,31
26,surprise,0.55555555555555558,0.15151515151515152,0.23809523809523808,33,9
27,neutral,1,0.50573065902578795,0.67174119885823025,1396,706
