label_id,label,precision,recall,f1,support,predicted_support
0,admiration,0.66171003717472121,0.72950819672131151,0.69395711500974655,488,538
1,amusement,0.77022653721682843,0.78547854785478544,0.77777777777777779,303,309
2,anger,0.58208955223880599,0.40000000000000002,0.47416413373860183,195,134
3,annoyance,0.66666666666666663,0.052805280528052806,0.097859327217125383,303,24
4,approval,0.49411764705882355,0.21158690176322417,0.29629629629629628,397,170
5,caring,0.42328042328042326,0.52287581699346408,0.46783625730994149,153,189
6,confusion,0.59340659340659341,0.35526315789473684,0.44444444444444442,152,91
7,curiosity,0.46015424164524421,0.72177419354838712,0.56200941915227631,248,389
8,desire,0.59090909090909094,0.50649350649350644,0.54545454545454541,77,66
9,disappointment,0.29166666666666669,0.42944785276073622,0.34739454094292804,163,240
10,disapproval,0.40476190476190477,0.40753424657534248,0.4061433447098976,292,294
11,disgust,0.33974358974358976,0.54639175257731953,0.4189723320158103,97,156
12,embarrassment,0.80000000000000004,0.45714285714285713,0.58181818181818179,35,20
13,excitement,0.36263736263736263,0.34375,0.35294117647058826,96,91
14,fear,0.76363636363636367,0.46666666666666667,0.57931034482758625,90,55
15,gratitude,0.92668621700879761,0.88268156424581001,0.90414878397711018,358,341
16,grief,0.25,0.076923076923076927,0.11764705882352941,13,4
17,joy,0.62992125984251968,0.46511627906976744,0.53511705685618727,172,127
18,love,0.74809160305343514,0.77777777777777779,0.76264591439688711,252,262
19,nervousness,0.55555555555555558,0.23809523809523808,0.33333333333333331,21,9
20,optimism,0.72093023255813948,0.44497607655502391,0.55029585798816572,209,129
21,pride,1,0.26666666666666666,0.42105263157894735,15,4
22,realization,0.37142857142857144,0.20472440944881889,0.26395939086294418,127,70
23,relief,0.33333333333333331,0.055555555555555552,0.095238095238095233,18,3
24,remorse,0.70175438596491224,0.58823529411764708,0.64000000000000001,68,57
25,sadness,0.71232876712328763,0.36363636363636365,0.48148148148148145,143,73
26,surprise,0.59740259740259738,0.35658914728682173,0.44660194174757284,129,77
27,neutral,0.65343165059557573,0.65232163080407701,0.65287616888637012,1766,1763
