step,loss,input_tokens,step_seconds,peak_mlx_memory_gb
1,0.9149131774902344,140,1.2004394580144435,8.385578802
2,0.09797728061676025,126,0.8955244161188602,8.40613747
3,1.0636992454528809,140,1.1944401247892529,8.43474027
4,0.01714903861284256,203,1.5991226669866592,8.525625538
5,1.5871081352233887,158,1.224690416827798,8.525625538
6,2.504180431365967,214,1.6389802498742938,8.552142726
7,0.5517743229866028,139,1.2082240409217775,8.552142726
8,0.09276952594518661,210,1.6105994579847902,8.554684618
9,1.9062203168869019,140,1.228702082997188,8.554684618
10,1.8238729238510132,129,1.1503297078888863,8.554684618
11,0.07005421817302704,129,1.1668732499238104,8.554684618
12,1.057957410812378,135,1.1905944589525461,8.554684618
13,0.06139714643359184,137,1.1770346658304334,8.554684618
14,0.9467176198959351,257,1.9843993328977376,8.61210555
15,0.48131629824638367,137,1.2091244999319315,8.61210555
16,0.38066089153289795,143,1.2206087501253933,8.61210555
17,1.3041307926177979,170,1.337887791916728,8.61210555
18,1.1346864700317383,211,1.6312070828862488,8.61210555
19,0.41784340143203735,126,2.630954083055258,8.61210555
20,0.5640031695365906,183,2.155558249913156,8.61210555
21,0.4293344020843506,303,2.137218500021845,8.674391518
22,1.1212013959884644,133,1.351085249800235,8.674391518
23,0.39564424753189087,128,0.8929287081118673,8.674391518
24,0.55222487449646,292,2.037463292013854,8.674391518
25,0.4385952949523926,165,1.6776349160354584,8.674391518
26,0.4177764654159546,159,1.2526517501100898,8.674391518
27,0.3869866132736206,214,2.021072833100334,8.674391518
28,0.5562727451324463,143,1.4043997498229146,8.674391518
29,0.27030596137046814,181,1.761803459143266,8.674391518
30,0.1970481127500534,129,1.2957818331196904,8.674391518
31,0.25221186876296997,194,1.597176583018154,8.674391518
32,0.06757475435733795,131,1.1826333750505,8.674391518
