condition_id,gold_label,row_count,runs_per_row,all_runs_correct,all_runs_wrong,mixed_outcome,all_runs_correct_rate,all_runs_wrong_rate,mixed_outcome_rate
exp-007-linear-svm,ALL,1421,1,996,425,0,0.700914848698,0.299085151302,0.000000000000
exp-007-linear-svm,anger,558,1,475,83,0,0.851254480287,0.148745519713,0.000000000000
exp-007-linear-svm,joy,358,1,230,128,0,0.642458100559,0.357541899441,0.000000000000
exp-007-linear-svm,optimism,123,1,52,71,0,0.422764227642,0.577235772358,0.000000000000
exp-007-linear-svm,sadness,382,1,239,143,0,0.625654450262,0.374345549738,0.000000000000
exp-011-generic-roberta,ALL,1421,3,1084,183,154,0.762843068262,0.128782547502,0.108374384236
exp-011-generic-roberta,anger,558,3,440,61,57,0.788530465950,0.109318996416,0.102150537634
exp-011-generic-roberta,joy,358,3,273,48,37,0.762569832402,0.134078212291,0.103351955307
exp-011-generic-roberta,optimism,123,3,74,29,20,0.601626016260,0.235772357724,0.162601626016
exp-011-generic-roberta,sadness,382,3,297,45,40,0.777486910995,0.117801047120,0.104712041885
exp-014-generic-roberta-label-smoothing,ALL,1421,3,1088,181,152,0.765657987333,0.127375087966,0.106966924701
exp-014-generic-roberta-label-smoothing,anger,558,3,455,54,49,0.815412186380,0.096774193548,0.087813620072
exp-014-generic-roberta-label-smoothing,joy,358,3,278,37,43,0.776536312849,0.103351955307,0.120111731844
exp-014-generic-roberta-label-smoothing,optimism,123,3,69,36,18,0.560975609756,0.292682926829,0.146341463415
exp-014-generic-roberta-label-smoothing,sadness,382,3,286,54,42,0.748691099476,0.141361256545,0.109947643979
exp-015-twitter-roberta-label-smoothing,ALL,1421,3,1119,155,147,0.787473610134,0.109078114004,0.103448275862
exp-015-twitter-roberta-label-smoothing,anger,558,3,479,37,42,0.858422939068,0.066308243728,0.075268817204
exp-015-twitter-roberta-label-smoothing,joy,358,3,282,32,44,0.787709497207,0.089385474860,0.122905027933
exp-015-twitter-roberta-label-smoothing,optimism,123,3,70,32,21,0.569105691057,0.260162601626,0.170731707317
exp-015-twitter-roberta-label-smoothing,sadness,382,3,288,54,40,0.753926701571,0.141361256545,0.104712041885
